"STATE","FIRE_NAME","FIRE_YEAR","FIRE_SIZE"
AK,INOWAK,1997,606945.0
AL,BAY FIRE,2005,4394.0
AR,NO MANS LAND,2006,8294.0
AZ,WALLOW,2011,538049.0
CA,RUSH,2012,315578.8
CO,HAYMAN,2002,137760.0
CT,GREER RD.,2008,1300.0
DC,GRANT RD,1994,4.7
DE,STEAMBOAT,1995,2000.0
FL,STATE FIRE,1999,158000.0
GA,HONEY PRAIRIE,2011,309200.0
HI,,2005,25000.0
IA,,2005,4000.0
ID,MURPHY COMPLEX,2007,367785.0
IL,PERE MARQUETTE,2011,1475.0
IN,COYOTE FIRE,2007,1549.0
KS,,1996,55000.0
KY,,1999,10000.0
LA,,2000,12877.0
MA,THE RANGE,2005,800.0
MD,TYLER,2007,3208.0
ME,ALLAGASH,1992,1092.0
MI,DUCK LAKE TRAIL,2012,21069.0
MN,PAGAMI CREEK,2011,92682.0
MO,MINNINGHAW,2011,4761.0
MS,CRIPPLE CHINOOK,2010,5717.0
MT,ASH CREEK,2012,249562.0
NC,PAINS BAY FIRE,2011,45294.0
ND,GAP/ROUGH CREEK,1999,51627.0
NE,THEDFORD,1999,74500.0
NH,,2015,275.0
NJ,GREENWOOD STATE FOREST,1995,19225.0
NM,WHITEWATER-BALDY,2012,297845.0
NV,WINTERS,2006,238462.6
NY,,1995,5050.0
OH,SHAWNEE COMPLEX,2009,2865.0
OK,,1996,70000.0
OR,LONG DRAW,2012,558198.3
PA,BULL RUN,2008,4000.0
PR,,2005,2702.0
RI,NINIGRET,1994,25.0
SC,HIGHWAY 31 FIRE,2009,19130.0
SD,JASPER,2000,83508.0
TN,,2000,8134.0
TX,HWY 152,2006,479549.0
UT,MILFORD FLAT,2007,357185.0
VA,PINNACLES,2000,16021.0
VT,,1992,270.0
WA,CARLTON,2014,255575.0
WI,GERMANN ROAD FIRE,2013,7499.4
WV,,2001,5832.0
WY,KATES BASIN,2000,137069.0
